provider_key,provider_name,speciality,year_month,encounter_count,unique_patients,procedure_count,average_encounter_duration_minutes,total_claim_cost
280079293355470746,Wynell591 Mayert710,GENERAL PRACTICE,1943-09,1,1,0,41.03333333333333,1329.55
544507194386793082,Stephen891 Okuneva707,GENERAL PRACTICE,1943-09,2,2,0,52.3,1999.20
627552435495576060,Louis204 Hauck852,GENERAL PRACTICE,1947-12,1,1,0,15.0,85.55
627552435495576060,Louis204 Hauck852,GENERAL PRACTICE,1948-01,1,1,0,15.0,85.55
627552435495576060,Louis204 Hauck852,GENERAL PRACTICE,1950-01,1,1,0,15.0,85.55
557542335892374462,Rafael239 Delafuente833,GENERAL PRACTICE,1951-05,1,1,0,1440.0,3817.64
691551023407772307,Nickolas58 Schumm995,GENERAL PRACTICE,1952-08,1,1,0,15.0,3611.37
691551023407772307,Nickolas58 Schumm995,GENERAL PRACTICE,1953-10,1,1,0,72.95,942.01
1001810865406500417,Bennett146 Rippin620,GENERAL PRACTICE,1960-01,1,1,0,15.0,1005.38
635693475161891891,Chanelle850 Schuster709,GENERAL PRACTICE,1960-03,2,1,0,15.0,171.10
591002730729355689,Ana María762 Alicea505,GENERAL PRACTICE,1960-09,1,1,0,22.183333333333334,704.20
691551023407772307,Nickolas58 Schumm995,GENERAL PRACTICE,1961-06,1,1,0,1440.0,3817.64
591002730729355689,Ana María762 Alicea505,GENERAL PRACTICE,1961-09,1,1,0,44.0,704.20
544507194386793082,Stephen891 Okuneva707,GENERAL PRACTICE,1962-10,1,1,0,43.3,778.78
835509182532742600,Larraine124 Torphy630,GENERAL PRACTICE,1963-01,1,1,0,32.0,704.20
1108521240143207682,Sunny31 Gleason633,GENERAL PRACTICE,1963-01,1,1,0,52.95,704.20
835509182532742600,Larraine124 Torphy630,GENERAL PRACTICE,1964-01,1,1,0,52.266666666666666,849.22
1001810865406500417,Bennett146 Rippin620,GENERAL PRACTICE,1964-08,1,1,0,15.0,85.55
717311760003828486,Maren639 Aufderhar910,GENERAL PRACTICE,1964-09,1,1,0,15.0,347.38
299028792677877871,Elijah719 White193,GENERAL PRACTICE,1965-02,1,1,0,59.016666666666666,919.90
104443324623586425,Alan320 Keeling57,GENERAL PRACTICE,1965-02,3,3,0,46.25555555555555,2192.30
544507194386793082,Stephen891 Okuneva707,GENERAL PRACTICE,1965-07,2,2,0,48.099999999999994,2509.62
280079293355470746,Wynell591 Mayert710,GENERAL PRACTICE,1965-07,1,1,0,57.65,778.78
557542335892374462,Rafael239 Delafuente833,GENERAL PRACTICE,1965-08,1,1,0,15.0,92.93
104443324623586425,Alan320 Keeling57,GENERAL PRACTICE,1966-03,1,1,0,55.11666666666667,1108.71
835509182532742600,Larraine124 Torphy630,GENERAL PRACTICE,1967-02,1,1,0,33.96666666666667,1075.86
220387732963487694,Sulema841 Ryan260,GENERAL PRACTICE,1967-07,2,1,0,15.0,171.10
544507194386793082,Stephen891 Okuneva707,GENERAL PRACTICE,1967-08,1,1,0,43.28333333333333,1339.09
280079293355470746,Wynell591 Mayert710,GENERAL PRACTICE,1968-08,1,1,0,39.016666666666666,849.22
1137716374724131528,Lady554 Kovacek682,GENERAL PRACTICE,1969-03,1,1,0,55.18333333333333,778.78
104443324623586425,Alan320 Keeling57,GENERAL PRACTICE,1969-03,1,1,0,42.68333333333333,778.78
544507194386793082,Stephen891 Okuneva707,GENERAL PRACTICE,1969-08,1,1,0,47.15,860.16
259733207554739476,Domitila545 Vandervort697,GENERAL PRACTICE,1971-08,2,1,0,15.0,171.10
280079293355470746,Wynell591 Mayert710,GENERAL PRACTICE,1971-09,1,1,0,54.65,778.78
104443324623586425,Alan320 Keeling57,GENERAL PRACTICE,1972-03,1,1,0,40.416666666666664,1567.00
760190895004668173,Melida518 Mayert710,GENERAL PRACTICE,1972-03,1,1,0,60.0,146.18
757165526207794756,Hunter736 Lesch175,GENERAL PRACTICE,1972-05,1,1,0,64.81666666666666,1018.55
220387732963487694,Sulema841 Ryan260,GENERAL PRACTICE,1972-05,1,1,0,15.0,85.55
120057643579548119,Enriqueta274 Barton704,GENERAL PRACTICE,1973-08,1,1,0,15.0,783.90
259733207554739476,Domitila545 Vandervort697,GENERAL PRACTICE,1973-10,1,1,0,15.0,516.95
104443324623586425,Alan320 Keeling57,GENERAL PRACTICE,1975-03,1,1,0,35.0,994.48
259733207554739476,Domitila545 Vandervort697,GENERAL PRACTICE,1975-05,1,1,0,15.0,516.95
305532101201638812,Cristy798 Auer97,GENERAL PRACTICE,1976-03,1,1,1,95.13333333333334,6079.78
627552435495576060,Louis204 Hauck852,GENERAL PRACTICE,1976-06,2,1,7,49.76190476190476,4105.14
280079293355470746,Wynell591 Mayert710,GENERAL PRACTICE,1976-09,1,1,0,55.96666666666667,1161.22
717311760003828486,Maren639 Aufderhar910,GENERAL PRACTICE,1976-11,1,1,0,41.06666666666667,704.20
104443324623586425,Alan320 Keeling57,GENERAL PRACTICE,1978-03,1,1,8,32.46666666666667,7955.84
627552435495576060,Louis204 Hauck852,GENERAL PRACTICE,1978-04,2,1,7,202.01666666666665,21823.00
120057643579548119,Enriqueta274 Barton704,GENERAL PRACTICE,1978-09,1,1,0,34.86666666666667,1567.00
544507194386793082,Stephen891 Okuneva707,GENERAL PRACTICE,1978-10,1,1,0,41.96666666666667,1865.32
691551023407772307,Nickolas58 Schumm995,GENERAL PRACTICE,1978-11,1,1,0,15.0,85.55
557542335892374462,Rafael239 Delafuente833,GENERAL PRACTICE,1979-04,1,1,0,36.5,1515.74
627552435495576060,Louis204 Hauck852,GENERAL PRACTICE,1979-12,2,1,3,26.477777777777778,2081.69
982978929763219993,Derick144 Bashirian201,GENERAL PRACTICE,1980-03,1,1,0,55.71666666666667,977.85
305532101201638812,Cristy798 Auer97,GENERAL PRACTICE,1980-05,1,1,1,149.6,7503.03
305532101201638812,Cristy798 Auer97,GENERAL PRACTICE,1980-11,1,1,1,142.63333333333333,4407.08
627552435495576060,Louis204 Hauck852,GENERAL PRACTICE,1980-12,2,1,1,44.0,5952.05
